,ht,ht_wins,ht_losses,ht_l10_hits_h,ht_l10_hits_a,ht_l10_rbis_h,ht_l10_rbis_a,ht_l10_ers_h,ht_l10_ers_a,at,at_wins,at_losses,at_l10_hits_h,at_l10_hits_a,at_l10_rbis_h,at_l10_rbis_a,at_l10_ers_h,at_l10_ers_a,home_team_won
2023,ATL,74,60,92,83,46,30,45,14,PIT,66,69,69,91,19,31,27,41,True
2024,LAN,73,62,86,96,37,55,29,30,ARI,74,61,92,85,39,37,26,27,True
2025,MIA,53,82,74,91,28,47,29,67,TOR,61,73,72,92,44,41,36,74,True
2026,PHI,72,62,86,84,41,36,46,47,CHN,79,55,96,73,50,23,37,23,False
2027,SDN,54,83,76,106,40,49,38,54,COL,72,62,89,84,44,40,41,46,False
2028,SFN,68,68,76,68,41,23,25,35,NYN,59,75,78,115,34,68,34,41,False
2029,SLN,76,59,74,100,47,61,23,27,CIN,57,78,105,81,47,28,56,55,False
2030,WAS,67,68,96,86,39,44,48,40,MIL,76,60,107,103,50,50,49,47,True
2031,CHA,54,81,84,97,44,52,39,33,BOS,93,43,99,76,57,32,37,39,False
2032,CLE,77,57,73,94,42,51,20,47,TBA,71,63,98,72,46,30,24,32,False
2033,HOU,82,53,79,93,41,48,36,35,ANA,66,69,79,92,44,44,51,40,True
2034,KCA,43,91,103,77,58,30,38,48,BAL,40,95,101,61,50,24,57,49,True
2035,NYA,85,50,79,88,51,50,45,28,DET,54,81,91,82,36,41,49,65,True
2036,OAK,81,55,88,96,42,52,30,38,SEA,75,60,78,92,33,33,60,37,False
2037,TEX,58,77,97,68,54,33,59,57,MIN,63,71,83,80,52,35,54,41,True
2038,ATL,75,60,83,83,40,30,41,14,PIT,66,70,69,92,19,31,27,43,True
2039,LAN,74,62,87,96,39,55,29,30,ARI,74,62,92,80,39,34,26,26,True
2040,MIA,54,82,79,91,32,47,26,67,TOR,61,74,72,91,44,39,36,75,False
2041,PHI,72,63,80,84,35,36,47,47,CHN,80,55,96,75,50,24,37,24,False
2042,SDN,54,84,73,106,39,49,36,54,COL,73,62,89,82,44,39,41,47,False
2043,SFN,68,69,63,68,29,23,18,35,NYN,60,75,78,103,34,55,34,37,False
2044,SLN,76,60,68,100,41,61,23,27,CIN,58,78,105,81,47,26,56,54,False
2045,WAS,68,68,97,86,42,44,49,40,MIL,76,61,107,94,50,47,49,44,False
2046,CHA,54,82,84,97,44,52,44,33,BOS,94,43,99,76,57,33,37,40,True
2047,CLE,77,58,76,94,43,51,22,47,TBA,72,63,98,79,46,34,24,32,False
2048,HOU,83,53,78,93,44,48,34,35,ANA,66,70,79,85,44,40,51,40,True
2049,KCA,44,91,106,77,60,30,41,48,BAL,40,96,101,67,50,25,57,52,True
2050,NYA,86,50,76,88,52,50,40,28,DET,54,82,91,82,36,38,49,58,False
2051,OAK,81,56,86,96,45,52,35,38,SEA,76,60,78,94,33,34,60,36,True
2052,TEX,59,77,83,68,50,33,56,57,MIN,63,72,83,81,52,34,54,42,True
2053,ARI,74,63,92,78,39,31,26,28,SDN,54,85,76,106,40,49,40,54,False
2054,ATL,76,60,84,83,38,30,40,14,BOS,94,44,99,74,57,28,37,44,False
2055,COL,74,62,89,86,44,45,41,38,SFN,68,70,59,68,30,23,18,35,True
2056,LAN,75,62,78,96,38,55,28,30,NYN,61,75,78,85,34,40,34,34,False
2057,MIA,54,83,74,91,29,47,29,67,PHI,72,64,80,84,32,36,42,47,True
2058,MIL,77,61,107,93,50,49,49,48,CHN,81,55,96,81,50,32,37,16,True
2059,PIT,66,71,69,90,19,30,27,40,CIN,59,78,105,81,47,31,56,49,True
2060,WAS,68,69,96,86,44,44,51,40,SLN,76,61,70,100,42,61,27,27,True
2061,CHA,55,82,96,97,51,52,42,33,DET,55,82,91,94,36,49,49,59,True
2062,CLE,77,59,74,94,42,51,26,47,KCA,45,91,108,77,62,30,36,48,False
2063,HOU,84,53,80,93,46,48,33,35,MIN,63,73,83,79,52,36,54,53,True
2064,OAK,82,56,89,96,53,52,35,38,NYA,86,51,78,88,58,50,49,28,True
2065,SEA,76,61,78,93,33,34,60,41,BAL,40,97,101,66,50,21,57,58,True
2066,TEX,60,77,94,68,60,33,57,57,ANA,66,71,79,82,44,39,51,43,False
2067,TOR,62,74,72,89,44,39,36,71,TBA,73,63,98,89,46,39,24,32,False
2068,ARI,74,64,85,78,32,31,29,28,SDN,55,85,76,98,40,45,40,51,True
2069,ATL,76,61,86,83,37,30,44,14,BOS,95,44,99,75,57,33,37,45,False
2070,COL,75,62,90,86,49,45,41,38,SFN,68,71,59,71,30,27,18,41,True
2071,LAN,75,63,78,96,37,55,27,30,NYN,62,75,78,87,34,38,34,29,True
2072,MIA,55,83,70,91,29,47,28,67,PHI,72,65,80,84,32,37,42,44,False
2073,MIL,78,61,105,93,51,49,47,48,CHN,81,56,96,80,50,33,37,20,True
2074,PIT,67,71,66,90,17,30,24,40,CIN,59,79,105,85,47,30,56,47,True
2075,WAS,69,69,93,86,42,44,51,40,SLN,76,62,70,96,42,57,27,30,False
2076,CHA,56,82,92,97,48,52,36,33,DET,55,83,91,89,36,43,49,53,False
2077,CLE,77,60,72,94,38,51,27,47,KCA,46,91,108,78,62,31,36,43,True
2078,HOU,85,53,76,93,46,48,30,35,MIN,63,74,83,78,52,34,54,52,True
2079,OAK,83,56,91,96,55,52,34,38,NYA,86,52,78,86,58,50,49,29,False
2080,SEA,77,61,73,93,32,34,57,41,BAL,40,98,101,61,50,18,57,55,False
2081,TEX,60,78,92,68,57,33,54,57,ANA,67,71,79,78,44,36,51,36,True
2082,TOR,62,75,64,89,37,39,38,71,TBA,74,63,98,89,46,39,24,32,False
