,ht,ht_wins,ht_losses,ht_l10_hits_h,ht_l10_hits_a,ht_l10_rbis_h,ht_l10_rbis_a,ht_l10_ers_h,ht_l10_ers_a,at,at_wins,at_losses,at_l10_hits_h,at_l10_hits_a,at_l10_rbis_h,at_l10_rbis_a,at_l10_ers_h,at_l10_ers_a,home_team_won
2096,TOR,62,76,64,89,37,39,35,71,TBA,75,63,98,87,46,40,24,32,True
2097,ARI,75,64,90,78,34,31,26,28,ATL,76,63,82,83,38,30,41,14,False
2098,CIN,59,81,105,83,47,29,56,46,SDN,55,86,76,87,40,35,40,50,False
2099,WAS,69,71,94,86,45,44,62,40,CHN,82,57,96,86,50,37,37,31,False
2100,TOR,63,76,75,89,46,39,36,71,CLE,79,60,83,94,46,51,25,47,False
2101,ARI,75,65,91,78,37,31,30,28,ATL,77,63,82,87,38,32,41,19,True
2102,CIN,59,82,103,83,48,29,50,46,SDN,56,86,76,87,40,37,40,44,True
2103,COL,77,62,92,86,52,45,40,38,LAN,76,64,83,96,47,55,26,30,False
2104,MIL,79,62,102,93,50,49,40,48,SFN,68,73,59,75,30,26,18,47,True
2105,NYN,63,76,78,98,34,41,34,38,PHI,73,66,80,84,32,42,42,47,False
2106,PIT,69,71,71,90,22,30,19,40,MIA,56,84,64,91,25,47,33,67,True
2107,BOS,97,44,99,78,57,41,37,48,HOU,87,53,81,93,47,48,27,35,False
2108,CHA,56,84,85,97,41,52,46,33,ANA,68,72,79,77,44,32,51,30,False
2109,DET,57,83,91,100,36,52,49,44,SLN,78,62,70,98,42,59,27,37,True
2110,MIN,63,76,83,75,52,31,54,60,KCA,46,93,108,67,62,28,36,38,True
2111,OAK,84,57,85,96,51,52,31,38,TEX,61,79,90,68,51,33,54,57,True
2112,SEA,78,62,81,93,36,34,50,41,NYA,87,53,78,81,58,47,49,34,False
2113,TBA,75,64,98,86,46,40,24,35,BAL,41,99,101,75,50,17,57,58,True
2114,TOR,63,77,81,89,47,39,43,71,CLE,80,60,83,89,46,50,25,47,True
2115,ARI,76,65,91,78,40,31,30,28,ATL,77,64,82,84,38,27,41,23,False
2116,CIN,60,82,104,83,56,29,46,46,SDN,56,87,76,85,40,35,40,54,True
2117,COL,77,63,97,86,50,45,39,38,LAN,77,64,83,97,47,56,26,30,True
2118,MIL,80,62,95,93,51,49,34,48,SFN,68,74,59,72,30,27,18,49,True
2119,NYN,63,77,65,98,31,41,34,38,PHI,74,66,80,85,32,44,42,44,True
2120,PIT,70,71,74,90,27,30,21,40,MIA,56,85,64,89,25,47,33,67,True
2121,WAS,69,72,103,86,48,44,55,40,CHN,83,57,96,89,50,42,37,30,True
2122,WAS,70,72,95,86,46,44,55,40,CHN,83,58,96,90,50,44,37,35,True
2123,BOS,97,45,97,78,56,41,41,48,HOU,88,53,81,94,47,51,27,37,False
2124,CHA,56,85,83,97,36,52,45,33,ANA,69,72,79,80,44,36,51,28,False
2125,DET,58,83,90,100,37,52,50,44,SLN,78,63,70,92,42,54,27,40,True
2126,MIN,64,76,86,75,55,31,57,60,KCA,46,94,108,71,62,31,36,39,False
2127,OAK,85,57,81,96,50,52,35,38,TEX,61,80,90,71,51,34,54,57,True
2128,SEA,78,63,74,93,30,34,51,41,NYA,88,53,78,80,58,44,49,31,False
2129,TBA,76,64,102,86,57,40,23,35,BAL,41,100,101,72,50,19,57,64,True
2130,TOR,64,77,83,89,45,39,42,71,CLE,80,61,83,87,46,45,25,48,False
2131,ARI,76,66,83,78,38,31,34,28,ATL,78,64,82,85,38,27,41,20,False
2132,CIN,61,82,107,83,62,29,40,46,SDN,56,88,76,79,40,33,40,58,False
2133,COL,78,63,97,86,51,45,37,38,LAN,77,65,83,90,47,50,26,29,False
2134,MIL,81,62,88,93,50,49,34,48,SFN,68,75,59,71,30,29,18,47,True
2135,NYN,64,77,72,98,40,41,33,38,PHI,74,67,80,91,32,45,42,44,True
2136,BOS,97,46,96,78,53,41,43,48,HOU,89,53,81,99,47,53,27,38,True
2137,CHA,56,86,85,97,37,52,51,33,ANA,70,72,79,87,44,43,51,27,False
2138,DET,59,83,84,100,31,52,48,44,SLN,78,64,70,86,42,52,27,40,False
2139,MIN,64,77,72,75,41,31,53,60,KCA,47,94,108,73,62,32,36,39,True
2140,OAK,86,57,78,96,52,52,41,38,TEX,61,81,90,66,51,29,54,58,True
2141,SEA,78,64,74,93,31,34,45,41,NYA,89,53,78,79,58,46,49,32,True
2142,TBA,77,64,109,86,60,40,22,35,BAL,41,101,101,75,50,21,57,65,True
2143,TOR,64,78,89,89,45,39,48,71,CLE,81,61,83,93,46,49,25,53,True
2144,CHN,83,59,96,85,50,41,37,40,MIL,82,62,80,93,49,49,33,48,False
2145,CIN,61,83,106,83,65,29,43,46,LAN,78,65,83,94,47,54,26,30,True
2146,COL,78,64,95,86,52,45,43,38,ARI,76,67,81,78,39,31,39,28,True
2147,SFN,68,76,59,72,30,29,18,44,ATL,79,64,82,86,38,35,41,25,False
2148,SLN,79,64,70,86,42,52,27,40,PIT,71,71,76,90,31,30,21,40,True
2149,ANA,71,72,79,87,44,43,51,22,TEX,61,82,90,62,51,30,54,60,False
2150,DET,59,84,80,100,30,52,45,44,HOU,89,54,81,108,47,57,27,37,False
2151,KCA,47,95,108,67,62,27,36,35,CHA,56,87,82,97,31,52,49,33,True
2152,MIN,65,77,74,75,39,31,50,60,NYA,89,54,78,79,58,45,49,27,False
2153,TBA,78,64,116,86,62,40,21,35,CLE,81,62,83,92,46,46,25,54,True
2154,CHN,83,60,95,85,48,41,37,40,MIL,83,62,80,95,49,47,33,43,True
2155,CIN,62,83,109,83,72,29,48,46,LAN,78,66,83,97,47,58,26,36,True
2156,COL,79,64,105,86,61,45,42,38,ARI,76,68,81,73,39,24,39,37,False
2157,NYN,65,77,73,98,38,41,37,38,MIA,56,86,64,91,25,46,33,65,False
2158,PHI,74,68,80,87,32,42,42,43,WAS,71,72,88,86,45,44,53,40,False
2159,PHI,74,69,71,87,25,42,40,43,WAS,72,72,88,88,45,41,53,34,False
2160,SFN,68,77,55,72,27,29,18,44,ATL,80,64,82,85,38,34,41,25,False
2161,SLN,80,64,73,86,47,52,32,40,PIT,71,72,76,91,31,34,21,41,True
2162,ANA,71,73,74,87,36,43,51,22,TEX,62,82,90,63,51,33,54,54,True
2163,BAL,41,102,101,77,50,22,57,65,OAK,87,57,83,96,55,52,40,38,False
2164,BOS,98,46,106,78,55,41,46,48,TOR,65,78,89,89,46,39,50,71,True
2165,DET,59,85,79,100,27,52,39,44,HOU,90,54,81,100,47,50,27,35,False
2166,KCA,48,95,109,67,60,27,33,35,CHA,56,88,82,97,31,50,49,33,True
2167,MIN,65,78,73,75,36,31,51,60,NYA,90,54,78,80,58,45,49,26,True
2168,SEA,79,64,73,93,30,34,43,41,SDN,57,88,76,84,40,38,40,59,False
2169,TBA,79,64,116,86,67,40,26,35,CLE,81,63,83,88,46,45,25,57,False
2170,CHN,84,60,95,85,50,41,30,40,MIL,83,63,80,91,49,45,33,40,False
2171,CIN,63,83,108,83,69,29,48,46,LAN,78,67,83,95,47,56,26,36,False
2172,COL,79,65,99,86,59,45,41,38,ARI,77,68,81,71,39,24,39,33,True
2173,NYN,65,78,70,98,40,41,41,38,MIA,57,86,64,93,25,50,33,62,True
2174,PHI,74,70,76,87,28,42,45,43,WAS,73,72,88,85,45,44,53,34,False
2175,SFN,68,78,50,72,22,29,17,44,ATL,81,64,82,91,38,36,41,25,False
2176,SLN,81,64,78,86,50,52,35,40,PIT,71,73,76,84,31,34,21,43,False
2177,ANA,72,73,66,87,31,43,51,22,TEX,62,83,90,62,51,33,54,46,True
2178,BAL,41,103,102,77,51,22,57,65,OAK,88,57,83,97,55,52,40,36,False
2179,BOS,99,46,111,78,61,41,46,48,TOR,65,79,89,87,46,38,50,72,True
2180,DET,59,86,75,100,29,52,42,44,HOU,91,54,81,102,47,52,27,33,False
2181,KCA,49,95,106,67,60,27,34,35,CHA,56,89,82,91,31,47,49,33,False
2182,MIN,66,78,79,75,40,31,52,60,NYA,90,55,78,74,58,40,49,32,True
2183,SEA,79,65,75,93,30,34,34,41,SDN,58,88,76,83,40,37,40,56,False
2184,TBA,79,65,106,86,63,40,27,35,CLE,82,63,83,88,46,43,25,48,True
2185,COL,80,65,99,86,54,45,44,38,ARI,77,69,81,64,39,24,39,35,True
2186,NYN,66,78,75,98,46,41,38,38,MIA,57,87,64,87,25,44,33,63,True
2187,NYN,67,78,70,98,45,41,38,38,MIA,57,88,64,88,25,45,33,63,True
2188,SLN,81,65,79,86,46,52,37,40,LAN,79,67,83,95,47,53,26,36,False
2189,WAS,74,72,88,87,45,47,53,32,CHN,84,61,88,85,44,41,31,40,False
2190,ANA,73,73,70,87,35,43,49,22,SEA,79,66,69,93,27,34,32,41,False
2191,BAL,41,104,92,77,45,22,65,65,OAK,89,57,83,98,55,55,40,36,True
2192,BOS,100,46,102,78,57,41,41,48,TOR,65,80,89,84,46,33,50,66,True
2193,KCA,49,96,107,67,57,27,34,35,MIN,67,78,79,75,38,31,46,60,True
2194,ATL,82,64,82,87,38,33,41,26,WAS,74,73,90,87,48,47,55,32,True
2195,CHN,85,61,88,89,44,41,31,39,CIN,63,84,96,83,59,29,53,46,True
2196,MIL,84,63,80,96,49,48,33,38,PIT,72,73,76,80,31,30,21,45,True
2197,PHI,74,71,74,87,29,42,47,43,MIA,57,89,64,83,25,45,33,60,True
2198,SDN,59,88,76,87,40,41,40,50,TEX,62,84,90,68,51,34,54,48,False
2199,SFN,68,79,49,72,18,29,19,44,COL,81,65,108,86,62,45,39,38,True
2200,SLN,81,66,86,86,51,52,44,40,LAN,80,67,83,105,47,58,26,36,False
2201,ANA,73,74,71,87,37,43,49,22,SEA,80,66,69,95,27,40,32,43,False
2202,BAL,42,104,92,77,45,22,52,65,CHA,57,89,82,85,31,44,49,30,False
2203,BOS,101,46,106,78,57,41,38,48,NYN,68,78,74,98,49,41,38,38,False
2204,CLE,82,64,83,84,46,44,25,44,DET,59,87,72,100,31,52,39,44,False
2205,HOU,92,54,81,101,47,54,27,36,ARI,77,70,81,66,39,27,39,43,False
2206,KCA,50,96,101,67,55,27,37,35,MIN,67,79,79,75,38,32,46,60,True
2207,NYA,90,56,78,64,58,37,49,34,TOR,65,81,89,78,46,31,50,60,True
2208,TBA,80,65,99,86,60,40,25,35,OAK,89,58,83,95,55,50,40,34,False
2209,ATL,83,64,89,87,45,33,41,26,WAS,74,74,90,86,48,48,55,39,False
2210,CHN,86,61,83,89,40,41,32,39,CIN,63,85,96,84,59,30,53,42,True
2211,MIL,85,63,77,96,52,48,37,38,PIT,72,74,76,79,31,30,21,45,False
2212,PHI,75,71,84,87,41,42,41,43,MIA,57,90,64,81,25,39,33,69,True
2213,SDN,59,89,76,87,39,41,38,50,TEX,63,84,90,68,51,33,54,46,False
2214,SFN,69,79,53,72,18,29,18,44,COL,81,66,108,82,62,40,39,37,True
2215,SLN,81,67,78,86,46,52,44,40,LAN,81,67,83,95,47,48,26,35,False
2216,ANA,73,75,66,87,30,43,46,22,SEA,81,66,69,95,27,40,32,42,False
2217,BAL,42,105,90,77,46,22,51,65,CHA,58,89,82,86,31,50,49,28,False
2218,BOS,101,47,96,78,47,41,42,48,NYN,69,78,74,93,49,41,38,36,True
2219,CLE,82,65,79,84,42,44,30,44,DET,60,87,72,103,31,53,39,43,True
2220,HOU,92,55,70,101,37,54,27,36,ARI,78,70,81,70,39,31,39,44,True
2221,KCA,51,96,103,67,58,27,29,35,MIN,67,80,79,81,38,35,46,61,True
2222,NYA,91,56,84,64,62,37,44,34,TOR,65,82,89,76,46,29,50,60,False
2223,TBA,80,66,94,86,59,40,24,35,OAK,90,58,83,89,55,49,40,29,True
2224,ATL,83,65,79,87,39,33,43,26,WAS,75,74,90,89,48,55,55,36,False
2225,CHN,87,61,80,89,38,41,30,39,CIN,63,86,96,83,59,28,53,40,False
2226,MIL,85,64,71,96,46,48,34,38,PIT,73,74,76,78,31,31,21,41,False
2227,PHI,76,71,82,87,43,42,42,43,MIA,57,91,64,70,25,31,33,71,False
2228,SDN,59,90,79,87,38,41,35,50,TEX,64,84,90,67,51,32,54,43,True
2229,SFN,70,79,57,72,18,29,18,44,COL,81,67,108,73,62,30,39,35,False
2230,SLN,81,68,78,86,50,52,55,40,LAN,82,67,83,96,47,57,26,35,True
2231,ANA,73,76,67,87,32,43,43,22,SEA,82,66,69,95,27,42,32,44,True
2232,BAL,42,106,87,77,43,22,43,65,CHA,59,89,82,84,31,46,49,26,True
2233,BOS,102,47,94,78,45,41,45,48,NYN,69,79,74,87,49,40,38,33,True
2234,CLE,83,65,83,84,48,44,29,44,DET,60,88,72,99,31,51,39,49,False
2235,HOU,93,55,76,101,42,54,27,36,ARI,78,71,81,71,39,32,39,51,True
2236,KCA,52,96,108,67,62,27,29,35,MIN,67,81,79,83,38,34,46,63,False
2237,NYA,91,57,81,64,58,37,47,34,TOR,66,82,89,85,46,37,50,60,False
2238,TBA,81,66,91,86,57,40,26,35,OAK,90,59,83,92,55,46,40,36,True
2239,ARI,78,72,81,66,39,33,39,54,CHN,87,62,73,89,29,41,26,39,False
2240,ATL,83,66,76,87,38,33,43,26,SLN,82,68,79,86,49,52,55,40,False
2241,LAN,82,68,83,96,47,54,26,38,COL,82,67,108,68,62,28,39,34,True
2242,MIA,58,91,64,66,25,29,33,67,WAS,76,74,90,93,48,61,55,37,True
2243,MIL,85,65,70,96,47,48,28,38,CIN,64,86,96,77,59,24,53,34,True
2244,PHI,76,72,82,87,42,42,45,43,NYN,69,80,74,85,49,42,38,35,False
2245,PIT,74,74,76,73,31,32,21,43,KCA,52,97,109,67,59,27,35,35,True
2246,SDN,60,90,78,87,38,41,32,50,SFN,70,80,57,72,19,29,19,44,False
2247,BAL,43,106,91,77,49,22,42,65,TOR,67,82,89,80,46,35,50,50,False
2248,DET,61,88,72,108,31,55,39,44,MIN,68,81,79,96,38,39,46,64,False
2249,HOU,94,55,80,101,41,54,27,36,SEA,82,67,69,95,27,44,32,43,False
2250,TEX,64,85,90,69,51,32,54,45,TBA,82,66,91,86,58,40,29,35,False
2251,ARI,78,73,74,66,35,33,43,54,CHN,88,62,73,89,29,45,26,38,False
2252,ATL,83,67,77,87,39,33,50,26,SLN,83,68,79,89,49,60,55,43,False
2253,LAN,83,68,81,96,44,54,27,38,COL,82,68,108,66,62,26,39,40,True
2254,MIA,59,91,68,66,32,29,33,67,WAS,76,75,90,84,48,51,55,45,False
2255,MIL,86,65,73,96,48,48,24,38,CIN,64,87,96,82,59,24,53,35,False
2256,PHI,76,73,78,87,38,42,49,43,NYN,70,80,74,83,49,41,38,36,True
2257,PIT,75,74,84,73,34,32,26,43,KCA,52,98,109,71,59,33,35,41,True
2258,SDN,60,91,75,87,37,41,32,50,SFN,71,80,57,76,19,32,19,45,False
2259,BAL,43,107,87,77,46,22,42,65,TOR,68,82,89,73,46,35,50,42,False
2260,CLE,83,66,83,84,49,44,31,44,CHA,59,90,82,82,31,44,49,31,True
2261,DET,61,89,67,108,24,55,43,44,MIN,69,81,79,93,38,36,46,61,False
2262,HOU,94,56,76,101,40,54,27,36,SEA,83,67,69,96,27,47,32,42,True
2263,NYA,91,58,75,64,50,37,48,34,BOS,103,47,88,78,43,41,41,48,True
2264,OAK,90,60,83,84,55,44,40,39,ANA,74,76,68,87,33,43,40,22,False
2265,TEX,64,86,78,69,45,32,46,45,TBA,83,66,91,89,58,41,29,31,False
2266,ARI,78,74,72,66,35,33,46,54,CHN,89,62,73,90,29,48,26,38,True
2267,ATL,83,68,77,87,38,33,56,26,SLN,84,68,79,89,49,61,55,40,True
2268,LAN,84,68,76,96,41,54,25,38,COL,82,69,108,59,62,21,39,35,True
2269,MIL,86,66,69,96,44,48,24,38,CIN,65,87,96,77,59,22,53,27,True
2270,PHI,77,73,80,87,41,42,50,43,NYN,70,81,74,86,49,43,38,34,True
2271,PIT,76,74,85,73,34,32,26,43,KCA,52,99,109,70,59,33,35,39,True
2272,SDN,60,92,79,87,39,41,36,50,SFN,72,80,57,80,19,34,19,43,True
2273,BAL,43,108,82,77,41,22,44,65,TOR,69,82,89,74,46,33,50,39,True
2274,CLE,84,66,84,84,49,44,33,44,CHA,59,91,82,80,31,40,49,33,True
2275,DET,61,90,65,108,25,55,42,44,MIN,70,81,79,95,38,38,46,58,False
2276,HOU,95,56,77,101,47,54,24,36,SEA,83,68,69,93,27,44,32,41,False
2277,NYA,92,58,75,64,51,37,44,34,BOS,103,48,88,70,43,40,41,46,True
2278,OAK,90,61,86,84,61,44,45,39,ANA,75,76,68,86,33,47,40,27,True
2279,TEX,64,87,71,69,41,32,48,45,TBA,84,66,91,100,58,43,29,31,False
2280,ATL,84,68,78,87,38,33,58,26,PHI,78,73,81,87,44,42,46,43,True
2281,MIA,59,92,71,66,33,29,37,67,CIN,65,88,96,69,59,18,53,34,False
2282,WAS,77,75,90,84,48,51,55,44,NYN,70,82,74,85,49,41,38,37,False
2283,CLE,85,66,85,84,51,44,34,44,CHA,59,92,82,74,31,36,49,35,False
2284,DET,61,91,65,108,26,55,44,44,KCA,52,100,109,69,59,31,35,37,True
2285,NYA,93,58,78,64,54,37,41,34,BOS,103,49,88,74,43,41,41,49,False
2286,OAK,91,61,83,84,64,44,40,39,ANA,75,77,68,84,33,44,40,36,True
2287,TOR,69,83,89,73,46,31,50,35,TBA,85,66,91,104,58,47,29,28,True
2288,ARI,79,74,74,66,41,33,42,54,COL,82,70,108,58,62,20,39,38,False
2289,ATL,85,68,79,87,42,33,60,26,PHI,78,74,81,90,44,43,46,51,True
2290,LAN,85,68,70,96,39,54,23,38,SDN,61,92,76,87,39,41,37,50,False
2291,MIA,59,93,72,66,32,29,40,67,CIN,66,88,96,70,59,17,53,33,True
2292,PIT,77,74,87,73,36,32,26,43,MIL,87,66,65,96,43,48,23,38,False
2293,SLN,84,69,79,92,49,64,55,37,SFN,72,81,57,82,19,35,19,48,True
2294,WAS,77,76,90,84,51,51,56,44,NYN,71,82,74,88,49,42,38,40,False
2295,CHA,60,92,82,76,31,37,49,34,CHN,89,63,73,82,29,40,26,46,True
2296,CLE,85,67,85,84,51,44,34,44,BOS,104,49,88,84,43,49,41,47,False
2297,DET,62,91,67,108,35,55,42,44,KCA,52,101,109,74,59,36,35,43,False
2298,HOU,95,57,74,101,42,54,30,36,ANA,75,78,68,85,33,44,40,47,True
2299,NYA,93,59,79,64,59,37,47,34,BAL,44,108,71,77,31,22,40,65,True
2300,OAK,92,61,99,84,78,44,36,39,MIN,71,81,79,98,38,41,46,44,True
2301,TEX,64,88,70,69,40,32,49,45,SEA,84,68,69,95,27,47,32,40,True
2302,TOR,70,83,94,73,51,31,56,35,TBA,85,67,91,103,58,48,29,32,False
2303,ARI,79,75,74,66,38,33,48,54,COL,83,70,108,62,62,25,39,37,False
2304,ATL,86,68,80,87,46,33,59,26,PHI,78,75,81,87,44,46,46,53,True
2305,LAN,85,69,71,96,41,54,24,38,SDN,62,92,76,84,39,42,37,48,True
2306,MIA,60,93,77,66,33,29,39,67,CIN,66,89,96,66,59,16,53,31,True
2307,PIT,77,75,89,73,38,32,28,43,MIL,88,66,65,100,43,54,23,40,True
2308,SLN,85,69,76,92,42,64,53,37,SFN,72,82,57,85,19,36,19,52,True
2309,WAS,77,77,88,84,49,51,55,44,NYN,72,82,74,85,49,42,38,40,True
2310,CHA,61,92,91,76,37,37,44,34,CHN,89,64,73,85,29,41,26,52,False
2311,CLE,85,68,88,84,51,44,35,44,BOS,105,49,88,88,43,47,41,47,True
2312,DET,62,92,68,108,33,55,40,44,KCA,53,101,109,72,59,34,35,44,True
2313,HOU,96,57,78,101,49,54,31,36,ANA,75,79,68,84,33,45,40,54,True
2314,NYA,94,59,77,64,63,37,47,34,BAL,44,109,71,88,31,30,40,69,True
2315,OAK,93,61,97,84,77,44,40,39,MIN,71,82,79,99,38,46,46,49,True
2316,TEX,65,88,74,69,46,32,49,45,SEA,84,69,69,95,27,45,32,40,False
2317,TOR,70,84,92,73,46,31,59,35,TBA,86,67,91,116,58,56,29,32,True
2318,ARI,79,76,72,66,37,33,47,54,COL,84,70,108,65,62,30,39,31,False
2319,ATL,87,68,82,87,50,33,57,26,PHI,78,76,81,78,44,43,46,50,True
2320,LAN,86,69,74,96,45,54,24,38,SDN,62,93,76,77,39,41,37,48,True
2321,MIA,61,93,72,66,33,29,34,67,CIN,66,90,96,66,59,14,53,27,True
2322,PIT,78,75,96,73,40,32,26,43,MIL,88,67,65,94,43,47,23,34,False
2323,SLN,86,69,82,92,47,64,53,37,SFN,72,83,57,85,19,32,19,49,True
2324,WAS,78,77,86,84,51,51,46,44,NYN,72,83,74,75,49,38,38,36,False
2325,CHA,61,93,85,76,34,37,50,34,CHN,90,64,73,89,29,47,26,44,False
2326,CLE,86,68,96,84,55,44,34,44,BOS,105,50,88,91,43,50,41,45,True
2327,DET,63,92,73,108,35,55,41,44,KCA,53,102,109,73,59,35,35,40,False
2328,HOU,97,57,86,101,55,54,35,36,ANA,75,80,68,84,33,47,40,62,True
2329,NYA,95,59,77,64,59,37,43,34,BAL,44,110,71,96,31,30,40,63,False
2330,OAK,94,61,95,84,74,44,40,39,MIN,71,83,79,101,38,46,46,46,False
2331,TEX,65,89,70,69,39,32,51,45,SEA,85,69,69,99,27,51,32,34,True
2332,TOR,71,84,95,73,48,31,53,35,TBA,86,68,91,110,58,53,29,35,False
2333,ARI,79,77,70,66,33,33,49,54,LAN,87,69,84,96,56,54,22,38,False
2334,CHN,91,64,73,91,29,48,26,41,PIT,78,76,93,73,41,32,36,43,False
2335,COL,85,70,108,62,62,28,39,29,PHI,78,77,81,70,44,36,46,49,True
2336,SFN,72,84,57,82,19,32,19,52,SDN,62,94,76,75,39,35,37,60,False
2337,SLN,87,69,85,92,52,64,48,37,MIL,89,67,65,84,43,43,23,27,False
2338,WAS,78,78,89,84,53,51,51,44,MIA,62,93,77,66,32,29,31,67,True
2339,ANA,75,81,68,82,33,46,40,64,TEX,66,89,77,69,39,32,48,45,True
2340,BOS,105,51,88,90,43,47,41,47,BAL,45,110,71,95,31,32,40,61,True
2341,CHA,61,94,84,76,34,37,51,34,CLE,87,68,94,84,50,44,35,44,False
2342,SEA,85,70,69,97,27,50,32,32,OAK,94,62,101,84,74,44,38,39,False
2343,TBA,87,68,91,102,58,52,29,33,NYA,95,60,79,64,60,37,48,34,False
2344,TOR,71,85,99,73,49,31,51,35,HOU,98,57,88,101,56,54,35,36,False
2345,ARI,79,78,64,66,31,33,50,54,LAN,88,69,84,97,56,56,22,40,True
2346,CHN,91,65,67,91,22,48,30,41,PIT,79,76,93,74,41,37,36,39,False
2347,CIN,66,91,96,59,59,12,53,29,KCA,54,102,109,81,59,37,35,41,False
2348,COL,86,70,110,62,61,28,32,29,PHI,78,78,81,71,44,36,46,55,True
2349,NYN,73,83,74,76,49,42,38,39,ATL,88,68,76,87,44,33,50,26,False
2350,SFN,72,85,61,82,18,32,21,52,SDN,63,94,76,84,39,40,37,56,True
2351,SLN,87,70,84,92,48,64,47,37,MIL,90,67,65,87,43,46,23,30,False
2352,WAS,79,78,89,84,52,51,42,44,MIA,62,94,77,63,32,26,31,60,True
2353,ANA,76,81,71,82,36,46,41,64,TEX,66,90,77,71,39,35,48,47,True
2354,CHA,61,95,73,76,26,37,55,34,CLE,88,68,94,88,50,44,35,39,True
2355,MIN,72,83,79,104,38,50,46,38,DET,63,93,74,108,35,55,41,44,False
2356,SEA,85,71,66,97,29,50,36,32,OAK,95,62,101,81,74,45,38,40,True
2357,TBA,87,69,81,102,49,52,32,33,NYA,96,60,79,64,60,37,48,33,False
2358,TOR,71,86,107,73,52,31,52,35,HOU,99,57,88,95,56,50,35,32,False
2359,ARI,80,78,63,66,30,33,50,54,LAN,88,70,84,101,56,57,22,40,True
2360,CHN,91,66,58,91,16,48,32,41,PIT,80,76,93,77,41,40,36,37,True
2361,CIN,66,92,91,59,54,12,50,29,KCA,55,102,109,78,59,35,35,35,False
2362,COL,87,70,114,62,65,28,32,29,PHI,78,79,81,71,44,29,46,61,True
2363,NYN,73,84,72,76,49,42,43,39,ATL,89,68,76,94,44,39,50,28,True
2364,SFN,73,85,60,82,16,32,24,52,SDN,63,95,76,87,39,37,37,58,False
2365,SLN,87,71,81,92,44,64,54,37,MIL,91,67,65,96,43,54,23,33,False
2366,WAS,80,78,84,84,55,51,38,44,MIA,62,95,77,65,32,27,31,64,True
2367,ANA,77,81,66,82,32,46,35,64,TEX,66,91,77,69,39,32,48,42,True
2368,BOS,106,51,82,90,36,47,37,47,BAL,45,111,71,96,31,32,40,59,True
2369,BOS,107,51,96,90,52,47,34,47,BAL,45,112,71,101,31,34,40,76,False
2370,CHA,62,95,77,76,27,37,57,34,CLE,88,69,94,90,50,48,35,37,False
2371,MIN,72,84,79,104,34,50,46,38,DET,64,93,74,101,35,51,41,40,True
2372,SEA,86,71,71,97,32,50,34,32,OAK,95,63,101,91,74,49,38,38,False
2373,TBA,87,70,76,102,38,52,39,33,NYA,97,60,79,70,60,43,48,30,True
2374,TOR,71,87,97,73,43,31,52,35,HOU,100,57,88,91,56,45,35,30,True
2375,CHN,92,66,60,91,21,48,37,41,PIT,80,77,93,82,41,43,36,38,True
2376,COL,88,70,123,62,74,28,29,29,PHI,78,80,81,69,44,28,46,73,True
2377,NYN,74,84,70,76,49,42,43,39,ATL,89,69,76,87,44,38,50,28,True
2378,KCA,56,102,109,79,59,36,35,35,CLE,89,69,94,93,50,47,35,34,True
2379,MIN,73,84,88,104,44,50,44,38,DET,64,94,74,97,35,50,41,42,True
2380,SEA,86,72,72,97,33,50,41,32,TEX,66,92,77,67,39,28,48,37,False
2381,TBA,88,70,72,102,37,52,42,33,NYA,97,61,79,72,60,45,48,35,False
2382,CHN,93,66,64,91,21,48,28,41,SLN,87,72,76,92,42,64,52,37,True
2383,CIN,66,93,82,59,44,12,43,29,PIT,80,78,93,81,41,42,36,39,False
2384,COL,89,70,122,62,76,28,30,29,WAS,81,78,85,84,59,51,36,44,True
2385,MIL,92,67,65,91,43,52,23,29,DET,64,95,74,96,35,52,41,49,True
2386,NYN,75,84,72,76,53,42,29,39,MIA,62,96,77,65,32,30,31,67,False
2387,PHI,78,81,81,70,44,27,46,75,ATL,89,70,76,84,44,37,50,32,False
2388,SDN,64,95,76,84,39,33,37,48,ARI,81,78,68,66,34,33,48,54,True
2389,SFN,73,86,62,82,17,32,25,52,LAN,88,71,84,96,56,51,22,41,False
2390,ANA,78,81,65,82,33,46,34,64,OAK,96,63,101,95,74,54,38,39,True
2391,BAL,46,112,71,96,31,39,40,76,HOU,100,58,88,84,56,40,35,30,False
2392,BOS,107,52,92,90,51,47,39,47,NYA,98,61,79,80,60,54,48,29,False
2393,KCA,57,102,103,79,53,36,34,35,CLE,89,70,94,90,50,39,35,33,False
2394,MIN,74,84,92,104,51,50,41,38,CHA,62,96,76,76,27,37,61,34,True
2395,MIN,75,84,90,104,51,50,36,38,CHA,62,97,76,74,27,34,61,35,True
2396,SEA,86,73,68,97,31,50,38,32,TEX,67,92,77,70,39,27,48,30,True
2397,TBA,88,71,61,102,31,52,51,33,TOR,72,87,89,73,43,31,45,35,False
2398,CHN,94,66,67,91,27,48,27,41,SLN,87,73,76,85,42,55,52,42,False
2399,CIN,66,94,89,59,47,12,47,29,PIT,81,78,93,81,41,43,36,36,True
2400,COL,90,70,123,62,77,28,30,29,WAS,81,79,85,90,59,50,36,45,False
2401,MIL,93,67,68,91,45,52,24,29,DET,64,96,74,86,35,46,41,48,True
2402,NYN,75,85,74,76,51,42,29,39,MIA,63,96,77,71,32,31,31,65,True
2403,PHI,78,82,75,70,45,27,47,75,ATL,90,70,76,92,44,41,50,28,True
