,ht_l10_abs_h,ht_l10_abs_a,ht_l10_hits_h,ht_l10_hits_a,ht_l10_doubles_h,ht_l10_doubles_a,ht_l10_triples_h,ht_l10_triples_a,ht_l10_hrs_h,ht_l10_hrs_a,ht_l10_rbis_h,ht_l10_rbis_a,ht_l10_sac_hits_h,ht_l10_sac_hits_a,ht_l10_sac_flies_h,ht_l10_sac_flies_a,ht_l10_hbp_h,ht_l10_hbp_a,ht_l10_bb_h,ht_l10_bb_a,ht_l10_bbi_h,ht_l10_bbi_a,ht_l10_ko_h,ht_l10_ko_a,ht_l10_sb_h,ht_l10_sb_a,ht_l10_cs_h,ht_l10_cs_a,ht_l10_hit_into_dp_h,ht_l10_hit_into_dp_a,ht_l10_catcher_i_h,ht_l10_catcher_i_a,ht_l10_lob_h,ht_l10_lob_a,ht_l10_pitchers_h,ht_l10_pitchers_a,ht_l10_ers_h,ht_l10_ers_a,ht_l10_wp_h,ht_l10_wp_a,ht_l10_balks_h,ht_l10_balks_a,ht_l10_assists_h,ht_l10_assists_a,ht_l10_errors_h,ht_l10_errors_a,ht_l10_passed_balls_h,ht_l10_passed_balls_a,ht_l10_dp_h,ht_l10_dp_a,ht_l10_tp_h,ht_l10_tp_a,ht,ht_wins,ht_losses,at,at_wins,at_losses,home_team_won
278,272,264,68,59,15,9,1,2,4,7,29,17,0,1,1,2,6,4,26,18,0,1,63,58,2,2,2,4,6,6,0,0,59,52,37,33,45,36,1,3,0,0,71,60,3,9,1,0,6,4,0,0,DET,7,9,KCA,3,13,True
279,272,305,68,71,15,9,1,2,4,8,29,19,0,1,1,2,6,4,26,19,0,1,63,65,2,2,2,4,6,7,0,0,59,62,37,35,45,39,1,3,0,0,71,72,3,9,1,0,6,5,0,0,DET,8,9,KCA,3,14,False
280,340,271,90,59,24,8,2,1,15,10,63,36,0,0,2,2,4,5,40,30,4,0,99,72,5,3,1,1,4,5,0,0,66,53,46,34,39,29,1,1,0,1,107,68,8,1,0,0,15,9,0,0,NYA,9,8,TOR,12,6,False
281,318,333,95,95,30,25,3,0,9,15,62,47,1,0,5,2,3,5,38,30,3,2,62,58,4,5,0,3,3,9,0,0,68,67,38,38,33,17,2,3,0,0,75,68,2,2,0,1,6,7,0,0,OAK,9,10,BOS,16,2,False
282,290,179,66,43,15,13,1,0,6,9,28,23,0,0,1,1,0,1,35,17,1,0,83,48,5,4,0,0,2,5,0,0,74,31,42,19,29,13,2,2,0,0,75,46,8,0,1,0,7,2,0,0,TBA,5,13,MIN,8,5,True
283,322,235,75,59,15,12,0,1,14,4,35,30,2,1,0,3,1,6,19,27,1,1,81,51,5,6,1,1,3,9,0,0,53,51,44,29,45,37,3,3,1,0,78,55,5,5,0,2,10,3,0,0,TEX,7,13,SEA,9,8,False
284,331,243,70,57,14,13,1,1,10,7,38,21,0,3,2,0,6,4,32,15,1,1,100,73,5,2,1,1,7,4,0,0,63,48,46,27,44,16,1,2,0,0,105,64,9,5,0,0,7,8,0,0,ARI,13,6,SDN,8,13,True
285,317,277,78,60,14,19,4,0,9,10,41,40,2,2,3,4,7,3,39,35,4,5,83,84,2,3,4,2,6,8,0,0,72,45,47,39,36,30,3,1,0,0,78,86,5,6,0,0,7,5,0,0,ATL,11,8,NYN,14,5,True
286,242,381,67,93,14,22,2,6,9,10,41,49,2,3,1,1,10,9,25,46,2,7,55,97,1,3,0,2,3,8,0,1,56,89,34,46,40,30,5,5,1,0,70,117,8,6,0,3,3,10,0,0,COL,11,10,CHN,9,8,True
287,333,345,73,88,19,13,1,1,7,16,26,59,4,1,1,5,3,6,44,49,4,4,90,82,11,12,3,2,9,5,0,0,75,77,43,45,36,47,3,2,1,0,80,75,4,6,1,1,5,8,0,0,LAN,8,10,WAS,10,10,True
288,349,225,86,42,11,5,1,0,7,4,32,18,3,0,2,1,6,3,27,20,3,1,83,72,4,0,1,0,8,8,0,1,72,41,46,32,44,60,1,5,0,1,101,51,5,3,1,2,10,4,0,0,MIL,12,9,MIA,5,14,True
289,293,331,78,76,20,15,4,1,6,13,46,38,2,1,4,4,1,5,36,28,2,4,52,82,4,5,1,4,3,5,0,0,60,60,34,37,33,43,11,6,1,1,80,106,1,3,0,0,11,9,0,0,PHI,12,7,PIT,12,8,True
290,263,339,57,79,10,16,1,0,8,2,21,31,2,5,1,2,4,4,27,31,0,3,81,83,2,7,0,1,6,10,0,0,61,71,36,43,48,47,0,5,0,1,81,101,4,6,0,0,6,6,0,0,SLN,11,8,CIN,3,16,True
291,249,334,65,75,8,13,0,2,9,8,29,24,2,2,4,1,0,4,20,28,4,1,69,93,7,3,1,3,6,8,0,0,45,70,36,37,26,38,0,0,0,0,71,87,1,8,1,0,9,8,0,0,ANA,13,7,SFN,8,11,True
292,255,334,59,63,12,10,0,0,6,13,27,28,1,0,0,0,2,6,22,31,2,3,54,91,7,8,2,1,4,6,0,1,53,67,27,38,16,33,0,4,0,0,85,75,5,3,1,1,6,6,0,0,BAL,6,14,CLE,9,8,False
293,291,356,63,103,8,27,1,1,9,9,33,56,1,0,4,5,4,5,29,41,0,0,83,94,6,4,1,2,3,6,0,0,59,78,37,36,20,23,4,2,0,0,80,82,6,1,1,1,5,4,0,0,CHA,4,12,HOU,14,7,False
294,272,339,68,77,15,10,1,2,4,9,29,21,0,1,1,2,6,4,26,25,0,2,63,76,2,2,2,4,6,8,0,0,59,72,37,37,45,41,1,3,0,0,71,81,3,9,1,1,6,5,0,0,DET,8,10,KCA,4,14,True
295,340,307,90,68,24,10,2,1,15,12,63,44,0,0,2,2,4,5,40,39,4,0,99,79,5,3,1,1,4,5,0,0,66,63,46,39,39,34,1,1,0,1,107,76,8,1,0,0,15,10,0,0,NYA,9,9,TOR,13,6,True
296,318,368,95,106,30,26,3,0,9,17,62,54,1,0,5,2,3,5,38,31,3,2,62,64,4,5,0,4,3,11,0,0,68,69,38,43,33,20,2,5,0,0,75,75,2,2,0,1,6,8,0,0,OAK,9,11,BOS,17,2,True
297,290,215,66,50,15,14,1,0,6,12,28,30,0,0,1,1,0,1,35,20,1,0,83,58,5,4,0,1,2,5,0,0,74,33,42,25,29,20,2,2,0,0,75,55,8,2,1,0,7,4,0,0,TBA,6,13,MIN,8,6,True
298,322,273,75,73,15,17,0,1,14,5,35,36,2,3,0,3,1,7,19,29,1,2,81,60,5,9,1,2,3,10,0,0,53,61,44,34,45,39,3,3,1,0,78,68,5,5,0,2,10,5,0,0,TEX,7,14,SEA,10,8,False
299,331,276,70,66,14,14,1,1,10,7,38,23,0,3,2,0,6,4,32,16,1,1,100,83,5,3,1,3,7,5,0,0,63,53,46,31,44,22,1,2,0,0,105,73,9,5,0,0,7,8,0,0,ARI,14,6,SDN,8,14,True
300,242,377,67,90,14,21,2,6,9,7,41,43,2,3,1,1,10,6,25,43,2,5,55,94,1,2,0,3,3,7,0,0,56,84,34,45,40,32,5,5,1,0,70,114,8,4,0,3,3,8,0,0,COL,12,10,CHN,9,9,False
301,333,342,73,84,19,12,1,1,7,16,26,57,4,1,1,4,3,6,44,49,4,4,90,87,11,11,3,2,9,5,0,0,75,75,43,43,36,51,3,3,1,0,80,74,4,6,1,1,5,9,0,0,LAN,9,10,WAS,10,11,True
302,349,259,86,51,11,6,1,0,7,6,32,23,3,0,2,1,6,4,27,21,3,1,83,80,4,0,1,0,8,9,0,1,72,45,46,37,44,65,1,6,0,2,101,63,5,5,1,2,10,5,0,0,MIL,13,9,MIA,5,15,True
