,ht_l10_abs_h,ht_l10_abs_a,ht_l10_hits_h,ht_l10_hits_a,ht_l10_doubles_h,ht_l10_doubles_a,ht_l10_triples_h,ht_l10_triples_a,ht_l10_hrs_h,ht_l10_hrs_a,ht_l10_rbis_h,ht_l10_rbis_a,ht_l10_sac_hits_h,ht_l10_sac_hits_a,ht_l10_sac_flies_h,ht_l10_sac_flies_a,ht_l10_hbp_h,ht_l10_hbp_a,ht_l10_bb_h,ht_l10_bb_a,ht_l10_bbi_h,ht_l10_bbi_a,ht_l10_ko_h,ht_l10_ko_a,ht_l10_sb_h,ht_l10_sb_a,ht_l10_cs_h,ht_l10_cs_a,ht_l10_hit_into_dp_h,ht_l10_hit_into_dp_a,ht_l10_catcher_i_h,ht_l10_catcher_i_a,ht_l10_lob_h,ht_l10_lob_a,ht_l10_pitchers_h,ht_l10_pitchers_a,ht_l10_ers_h,ht_l10_ers_a,ht_l10_wp_h,ht_l10_wp_a,ht_l10_balks_h,ht_l10_balks_a,ht_l10_assists_h,ht_l10_assists_a,ht_l10_errors_h,ht_l10_errors_a,ht_l10_passed_balls_h,ht_l10_passed_balls_a,ht_l10_dp_h,ht_l10_dp_a,ht_l10_tp_h,ht_l10_tp_a,ht,ht_wins,ht_losses,at,at_wins,at_losses,home_team_won
1055,325,360,82,78,27,21,3,2,14,7,44,43,0,2,0,1,1,4,37,32,2,1,77,77,3,4,1,1,6,3,0,0,64,60,39,43,35,39,4,0,0,0,97,82,3,6,1,1,5,5,0,0,CLE,36,33,MIN,31,36,True
1056,322,359,88,108,14,21,2,3,12,20,46,68,3,0,1,2,3,0,33,35,1,1,71,65,7,5,4,1,11,14,0,0,62,56,41,38,39,31,4,4,0,0,85,69,3,5,0,2,6,6,0,0,KCA,22,48,HOU,47,25,False
1057,322,331,86,65,19,11,3,2,8,7,41,22,1,1,3,0,9,7,33,22,0,0,66,102,3,4,3,4,9,9,0,0,70,57,37,35,27,41,6,3,0,0,98,98,6,8,0,1,9,6,0,0,NYA,46,21,TBA,32,38,False
1058,313,341,71,77,14,12,1,2,13,14,35,35,0,0,4,3,4,4,32,30,1,4,72,80,5,2,1,2,5,5,0,0,61,70,43,42,28,47,11,2,0,0,95,75,5,4,1,1,9,11,0,0,OAK,35,36,ANA,38,33,True
1059,329,342,86,77,22,10,2,1,13,12,41,39,0,0,1,3,5,4,29,36,1,3,73,93,7,11,1,2,11,8,0,0,68,66,35,35,31,31,1,3,0,0,98,88,6,5,2,2,5,7,0,0,SEA,46,25,BOS,48,24,False
1060,361,352,109,87,21,18,3,2,14,9,60,47,4,3,4,4,5,3,22,29,2,2,76,97,4,3,5,2,6,7,0,0,69,61,47,40,73,50,11,5,1,0,106,104,4,2,0,2,12,10,0,0,TEX,28,44,COL,34,36,True
1061,327,337,79,66,15,9,2,1,10,8,43,22,2,2,0,2,4,3,28,22,2,2,78,85,4,13,1,2,5,4,0,0,59,57,44,40,38,30,2,1,0,0,87,88,0,4,2,1,6,8,0,0,TOR,32,38,WAS,38,30,True
1062,325,334,49,76,8,21,1,1,8,12,14,38,0,0,1,1,3,5,33,33,2,2,95,82,4,6,2,3,4,8,0,0,66,64,38,37,33,43,2,0,0,0,92,85,8,4,1,1,11,7,0,0,COL,34,37,NYN,30,38,False
1063,334,343,90,89,7,14,0,1,12,15,34,44,1,4,1,3,2,4,18,33,2,3,64,98,1,3,3,1,6,10,0,1,60,70,43,44,42,44,3,4,0,0,99,88,12,6,0,0,8,9,0,0,PHI,37,32,SLN,37,32,True
1064,329,341,83,85,18,13,0,1,13,15,46,43,3,2,2,2,4,5,36,27,1,0,79,101,12,3,2,1,11,8,0,1,66,63,43,40,40,34,2,2,0,0,88,73,4,6,1,1,13,6,0,0,PIT,35,36,MIL,42,29,True
